"Product ","Member Level ","Quantity ","Price ","Price Post Tax "
"Cherry Cookies JNT 0.6g 2pk","Non-Member","1 ","$10.00","$10.00"
"Cherry Cookies PP 1g
","Non-Member","1 g","$8.33","$8.33"
"","","3.5 g","$26.67","$26.67"
"","","4 g","$26.67","$26.67"
"","","7 g","$48.33","$48.33"
"","","14 g","$87.50","$87.50"
"","","28 g","$166.67","$166.67"
"","","56 g","$325.00","$325.00"
"","Standard Member","1 g","$8.33","$8.33"
"Cherry Cookies PP 3.5g
","Non-Member","1 g","$8.33","$8.33"
"","","3.5 g","$26.67","$26.67"
"","","4 g","$26.67","$26.67"
"","","7 g","$48.33","$48.33"
"","","14 g","$87.50","$87.50"
"","","28 g","$166.67","$166.67"
"","","56 g","$325.00","$325.00"
"","Standard Member","1 g","$8.33","$8.33"
"Cherry Cookies PP 7g","Non-Member","1 g","$8.33","$8.33"
"","","3.5 g","$26.67","$26.67"
"","","4 g","$26.67","$26.67"
"","","7 g","$48.33","$48.33"
"","","14 g","$87.50","$87.50"
"","","28 g","$166.67","$166.67"
"","","56 g","$325.00","$325.00"
"","Standard Member","1 g","$8.33","$8.33"
"Cherry Limeade BLUNT 1g","Non-Member","1 ","$8.33","$8.33"
"Cherry Limeade LR 1g","Non-Member","1 ","$30.00","$30.00"
"Cherry Wife 1:1 cart DIST 1g","Non-Member","1 ","$33.33","$33.33"
"Cherry Wine PP 1g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"Cherry Wine PP 3.5g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"Cherry Wine PP 7g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"Choco Bonkers LR 1g","Non-Member","1 ","$60.00","$60.00"
"Choco Grape Diesel JNT 0.6g","Non-Member","1 ","$1.67","$1.67"
"Choco Grape Diesel JNT 0.6g 2pk","Non-Member","1 ","$8.33","$8.33"
"Choco Grape Diesel JNT 8g","Non-Member","1 ","$33.33","$33.33"
"Chocolate Bar Banana Pudding 50mg","Non-Member","1 ","$15.00","$15.00"
"Chocolate Bar Strawberry Cheese Cake 50mg","Non-Member","1 ","$8.33","$8.33"
"Chocolate Bite Chocolate Turtle Single 50mg","Non-Member","1 ","$6.67","$6.67"
"Chocolate Bite Tootie Frootie Single 50mg","Non-Member","1 ","$6.67","$6.67"
"Chocolate Blood Orange Single 5mg","Non-Member","1 ","$2.50","$2.50"
"Chocolate Hashberry JNT 0.5g 10pk","Non-Member","1 ","$12.50","$12.50"
"Chocolate Hashberry Shatter 1g","Non-Member","1 g","$10.00","$10.00"
"Chocolate Peach Single 5mg","Non-Member","1 ","$2.50","$2.50"
"Chocolate Strawberry Single 5mg","Non-Member","1 ","$2.50","$2.50"
"Citrus Kush LR 1g","Non-Member","1 ","$16.67","$16.67"
"Citrus Mint cart Dist 1g","Non-Member","1 ","$29.17","$29.17"
"Citrus Sap BLUNT 1g","Non-Member","1 ","$8.33","$8.33"
"Citrus Sap JNT 0.6g","Non-Member","1 ","$6.67","$6.67"
"Citrus Sap JNT 0.6g 2pk
","Non-Member","1 ","$3.33","$3.33"
"Citrus Sap KIEF 1g","Non-Member","1 ","$11.67","$11.67"
"Citrus Sap PP 1g","Non-Member","1 g","$5.83","$5.83"
"","","3.5 g","$19.17","$19.17"
